,location,total_sqft,bath,price,bhk
2090,Electronic City,1039.0,2.0,50.0,2
2091,Electronic City,770.0,1.0,39.9,2
2093,Electronic City,1128.0,2.0,64.0,2
2094,Electronic City,605.0,1.0,13.31,1
2096,Electronic City,530.0,1.0,13.5,1
2097,Electronic City,1070.0,2.0,53.0,2
2100,Electronic City,1571.0,3.0,83.0,3
2102,Electronic City,1350.0,3.0,66.0,3
2103,Electronic City,1652.0,3.0,110.0,3
2107,Electronic City,1128.0,2.0,65.58,2
2108,Electronic City,635.0,1.0,28.0,1
2109,Electronic City,1128.0,2.0,65.4,2
2112,Electronic City,1355.0,2.0,72.9,2
2116,Electronic City,770.0,1.0,35.0,2
2118,Electronic City,865.0,2.0,40.0,2
2121,Electronic City,1108.0,2.0,63.0,2
2122,Electronic City,630.0,1.0,40.5,1
2125,Electronic City,605.0,1.0,22.0,1
2127,Electronic City,1070.0,2.0,48.0,2
2129,Electronic City,1360.0,2.0,70.0,3
2130,Electronic City,635.0,1.0,28.0,1
2131,Electronic City,1128.0,2.0,65.45,2
2132,Electronic City,890.0,2.0,40.0,2
2137,Electronic City,1360.0,2.0,58.0,3
2140,Electronic City,630.0,1.0,33.7,1
2144,Electronic City,1400.0,3.0,90.0,3
2145,Electronic City,1287.0,3.0,55.0,3
2146,Electronic City,1258.0,2.0,85.5,2
2147,Electronic City,1386.0,2.0,85.0,2
2148,Electronic City,1025.0,2.0,50.0,2
2150,Electronic City,1070.0,2.0,55.0,2
2151,Electronic City,1342.0,2.0,72.0,2
2152,Electronic City,1275.0,3.0,70.0,3
2153,Electronic City,770.0,1.0,38.0,2
2158,Electronic City,1644.0,3.0,92.59,3
2159,Electronic City,1250.0,2.0,62.0,2
2162,Electronic City,418.0,1.0,12.0,1
2163,Electronic City,1128.0,2.0,64.8,2
2166,Electronic City,1060.0,2.0,55.0,2
2167,Electronic City,710.0,1.0,40.42,1
2170,Electronic City,1275.0,3.0,63.43,3
2171,Electronic City,1518.0,3.0,75.0,3
2172,Electronic City,1090.0,2.0,31.48,1
2175,Electronic City,1060.0,2.0,55.0,2
2177,Electronic City,1353.0,2.0,75.0,2
2179,Electronic City,1128.0,2.0,67.0,2
2180,Electronic City,1070.0,2.0,57.0,2
2181,Electronic City,1700.0,3.0,90.0,3
2183,Electronic City,750.0,1.0,35.0,1
2184,Electronic City,1210.0,2.0,55.0,2
2185,Electronic City,1070.0,2.0,60.0,2
2190,Electronic City,1615.0,3.0,97.0,3
2192,Electronic City,1221.0,2.0,68.0,2
2194,Electronic City,1500.0,3.0,73.0,3
2195,Electronic City,995.0,2.0,48.0,2
2196,Electronic City,1342.0,2.0,90.0,2
2198,Electronic City,1128.0,2.0,63.5,2
2199,Electronic City,589.0,1.0,29.0,1
2202,Electronic City,1575.0,3.0,94.5,3
2203,Electronic City,1070.0,2.0,48.0,2
2204,Electronic City,1025.0,2.0,54.0,2
2205,Electronic City,1500.0,2.0,70.0,3
2206,Electronic City,1500.0,2.0,64.5,3
2208,Electronic City,2093.0,4.0,134.0,4
2210,Electronic City,1355.0,2.0,73.0,2
2211,Electronic City,1360.0,2.0,64.99,3
2212,Electronic City,1060.0,2.0,52.0,2
2213,Electronic City Phase II,1056.0,2.0,39.07,2
2214,Electronic City Phase II,1020.0,2.0,30.6,2
2215,Electronic City Phase II,1069.0,2.0,45.0,2
2216,Electronic City Phase II,630.0,1.0,28.35,1
2218,Electronic City Phase II,1000.0,2.0,25.0,2
2219,Electronic City Phase II,1090.0,2.0,28.34,2
2220,Electronic City Phase II,2225.0,4.0,98.88,4
2222,Electronic City Phase II,775.0,2.0,38.0,2
2223,Electronic City Phase II,1266.0,2.0,59.0,2
2224,Electronic City Phase II,1000.0,2.0,28.88,2
2227,Electronic City Phase II,972.0,2.0,44.0,2
2229,Electronic City Phase II,1031.0,2.0,55.0,2
2230,Electronic City Phase II,1003.0,2.0,40.6,2
2231,Electronic City Phase II,1031.0,2.0,56.35,2
2233,Electronic City Phase II,1395.0,2.0,62.78,3
2234,Electronic City Phase II,1160.0,2.0,33.5,2
2235,Electronic City Phase II,1065.0,2.0,30.75,2
2236,Electronic City Phase II,1219.0,2.0,61.25,2
2238,Electronic City Phase II,1000.0,2.0,28.88,2
2239,Electronic City Phase II,1790.0,3.0,100.0,3
2240,Electronic City Phase II,769.0,2.0,40.0,2
2242,Electronic City Phase II,900.0,2.0,32.5,2
2245,Electronic City Phase II,993.0,2.0,50.0,3
2246,Electronic City Phase II,1418.0,3.0,52.47,3
2247,Electronic City Phase II,1070.0,2.0,45.0,2
2250,Electronic City Phase II,1140.0,2.0,33.06,2
2251,Electronic City Phase II,1089.0,2.0,32.67,2
2252,Electronic City Phase II,1031.0,2.0,55.0,2
2253,Electronic City Phase II,1253.0,2.0,65.8,2
2255,Electronic City Phase II,1160.0,2.0,33.5,2
2256,Electronic City Phase II,975.0,2.0,45.0,3
2257,Electronic City Phase II,6000.0,4.0,260.0,4
2258,Electronic City Phase II,1116.0,2.0,37.0,2
2259,Electronic City Phase II,1125.0,2.0,29.25,2
2260,Electronic City Phase II,1000.0,2.0,28.88,2
2261,Electronic City Phase II,1000.0,2.0,28.88,2
2262,Electronic City Phase II,1000.0,2.0,28.88,2
2263,Electronic City Phase II,1165.0,2.0,30.29,2
2264,Electronic City Phase II,3550.0,2.0,167.5,4
2265,Electronic City Phase II,1031.0,2.0,53.0,2
2267,Electronic City Phase II,1065.0,2.0,30.88,2
2269,Electronic City Phase II,1549.0,3.0,80.0,3
2270,Electronic City Phase II,1065.0,2.0,56.13,2
2272,Electronic City Phase II,920.0,2.0,26.0,2
2273,Electronic City Phase II,1140.0,2.0,33.84,2
2274,Electronic City Phase II,1219.0,2.0,61.26,2
2275,Electronic City Phase II,1252.0,2.0,65.0,3
2276,Electronic City Phase II,1125.0,2.0,32.49,2
2278,Electronic City Phase II,1286.0,2.0,69.0,2
2280,Electronic City Phase II,1140.0,2.0,32.92,2
2281,Electronic City Phase II,1116.0,2.0,40.0,2
2282,Electronic City Phase II,1150.0,3.0,46.0,3
2283,Electronic City Phase II,1192.0,2.0,47.0,3
2285,Electronic City Phase II,1020.0,2.0,32.0,2
2286,Electronic City Phase II,1900.0,3.0,97.0,4
2287,Electronic City Phase II,1020.0,2.0,27.43,2
2288,Electronic City Phase II,1025.0,2.0,26.65,2
2289,Electronic City Phase II,1020.0,2.0,29.45,2
2290,Electronic City Phase II,1000.0,2.0,28.88,2
2292,Electronic City Phase II,1140.0,2.0,28.5,2
2293,Electronic City Phase II,1125.0,2.0,32.49,2
2294,Electronic City Phase II,1200.0,2.0,34.65,2
2295,Electronic City Phase II,1160.0,2.0,52.2,2
2296,Electronic City Phase II,1244.0,2.0,55.0,2
2297,Electronic City Phase II,1160.0,2.0,33.51,2
2300,Electronic City Phase II,972.0,2.0,40.0,2
2301,Electronic City Phase II,1160.0,2.0,33.51,2
2303,Electronic City Phase II,1090.0,2.0,31.48,2
2304,Electronic City Phase II,1140.0,2.0,32.92,2
2305,Electronic City Phase II,650.0,1.0,35.0,1
2306,Electronic City Phase II,1155.0,2.0,57.0,2
2307,Electronic City Phase II,1800.0,3.0,92.0,3
2308,Electronic City Phase II,1300.0,2.0,28.0,2
2309,Electronic City Phase II,1160.0,2.0,33.5,2
2310,Electronic City Phase II,1025.0,2.0,29.6,2
2311,Electronic City Phase II,829.0,2.0,22.8,2
2312,Electronic City Phase II,2187.5,4.0,105.0,4
2313,Electronic City Phase II,1252.0,2.0,67.0,2
2315,Electronic City Phase II,1125.0,2.0,32.63,2
2316,Electronic City Phase II,1140.0,2.0,34.0,2
2319,Electronic City Phase II,1252.0,2.0,65.0,3
2320,Electronic City Phase II,1135.0,2.0,46.0,2
2321,Electronic City Phase II,1305.0,3.0,65.0,3
2322,Electronic City Phase II,1165.0,2.0,33.64,2
2324,Electronic City Phase II,1336.0,2.0,50.35,3
2325,Electronic City Phase II,575.0,1.0,16.75,1
2326,Electronic City Phase II,925.0,2.0,49.82,3
2327,Electronic City Phase II,1065.0,2.0,30.76,2
2328,Electronic City Phase II,1065.0,2.0,30.75,2
2329,Electronic City Phase II,1140.0,2.0,33.06,2
2330,Electronic City Phase II,911.0,2.0,26.5,2
2331,Electronic City Phase II,1200.0,2.0,34.65,2
2332,Electronic City Phase II,1031.0,2.0,54.48,2
2336,Electronics City Phase 1,1475.0,3.0,78.29,3
2337,Electronics City Phase 1,1490.0,3.0,78.8,3
2338,Electronics City Phase 1,1113.27,2.0,53.0,2
2339,Electronics City Phase 1,1490.0,3.0,84.0,3
2346,Electronics City Phase 1,1015.0,2.0,56.0,2
2348,Electronics City Phase 1,1515.0,2.0,80.91,3
2349,Electronics City Phase 1,995.0,2.0,46.0,2
2350,Electronics City Phase 1,1555.0,2.0,82.0,3
2351,Electronics City Phase 1,1340.0,2.0,75.0,2
2352,Electronics City Phase 1,1124.0,2.0,55.0,3
2353,Electronics City Phase 1,1175.0,2.0,57.0,2
2354,Electronics City Phase 1,755.0,1.0,42.41,1
2355,Electronics City Phase 1,580.0,1.0,27.0,1
2356,Electronics City Phase 1,940.0,2.0,49.0,2
2357,Electronics City Phase 1,1335.0,2.0,67.0,2
2358,Electronics City Phase 1,1113.12,2.0,55.0,2
2360,Electronics City Phase 1,1350.0,3.0,71.0,3
2362,Electronics City Phase 1,995.0,2.0,49.8,2
2363,Electronics City Phase 1,635.0,1.0,26.0,1
2364,Electronics City Phase 1,1190.0,2.0,68.0,2
2366,Electronics City Phase 1,1450.0,3.0,72.54,3
2367,Electronics City Phase 1,360.0,1.0,16.9,1
2368,Electronics City Phase 1,638.0,1.0,32.0,1
2369,Electronics City Phase 1,1175.0,2.0,64.98,2
2370,Electronics City Phase 1,585.0,1.0,21.0,1
2371,Electronics City Phase 1,1200.0,2.0,59.76,2
2372,Electronics City Phase 1,1145.0,2.0,54.0,2
2373,Electronics City Phase 1,1125.0,2.0,65.0,2
2375,Electronics City Phase 1,1550.0,2.0,82.0,3
2377,Electronics City Phase 1,865.0,2.0,40.0,2
2381,Electronics City Phase 1,1800.0,3.0,93.0,3
2382,Electronics City Phase 1,1314.0,2.0,60.0,2
2383,Electronics City Phase 1,1170.0,2.0,62.0,2
2384,Electronics City Phase 1,1450.0,3.0,79.0,3
2385,Electronics City Phase 1,940.0,2.0,48.0,2
2386,Electronics City Phase 1,940.0,2.0,44.0,2
2387,Electronics City Phase 1,1300.0,2.0,67.0,2
2388,Electronics City Phase 1,1028.0,2.0,51.0,2
2390,Electronics City Phase 1,1205.0,2.0,60.0,2
2392,Electronics City Phase 1,1305.0,2.0,67.0,2
2393,Electronics City Phase 1,755.0,1.0,30.12,1
2394,Electronics City Phase 1,1175.0,2.0,60.0,2
2395,Frazer Town,1700.0,3.0,180.0,3
2396,Frazer Town,1305.0,3.0,95.45,3
2397,Frazer Town,1870.0,3.0,185.0,3
2398,Frazer Town,1750.0,3.0,150.0,3
2400,Frazer Town,2000.0,3.0,200.0,3
2401,Frazer Town,3500.0,4.0,330.0,3
2402,Frazer Town,2350.0,4.0,285.0,3
2403,Frazer Town,1550.0,2.0,140.0,2
2404,Frazer Town,1900.0,4.0,145.0,3
2405,Frazer Town,2560.0,3.0,265.0,3
2406,Frazer Town,2400.0,3.0,260.0,3
2407,Frazer Town,2560.0,3.0,288.0,3
2408,Frazer Town,3436.0,5.0,341.0,4
2410,Frazer Town,1315.0,2.0,140.0,2
2411,Frazer Town,1706.0,3.0,154.0,3
2412,Frazer Town,2079.0,3.0,220.0,3
2413,Frazer Town,3435.0,2.0,341.0,4
2414,Frazer Town,3436.0,5.0,345.0,4
2415,Frazer Town,3100.0,3.0,400.0,3
2416,Frazer Town,5400.0,3.0,400.0,3
2417,Frazer Town,1180.0,2.0,105.0,2
2418,Frazer Town,2900.0,4.0,325.0,4
2419,Frazer Town,1870.0,3.0,180.0,3
2420,Frazer Town,896.0,1.0,100.0,1
2421,Frazer Town,1420.0,2.0,120.0,2
2422,GM Palaya,1820.0,2.0,86.0,3
2423,GM Palaya,1225.0,2.0,47.0,2
2424,GM Palaya,1140.0,2.0,48.95,2
2425,GM Palaya,1315.0,2.0,65.0,3
2426,GM Palaya,1315.0,3.0,65.0,3
2427,GM Palaya,1315.0,3.0,64.0,3
2428,GM Palaya,1735.0,3.0,70.0,3
2429,GM Palaya,1643.0,2.0,70.0,3
2430,Ganga Nagar,600.0,1.0,38.0,1
2431,Ganga Nagar,845.0,2.0,55.0,2
2432,Ganga Nagar,1112.0,2.0,68.0,2
2433,Ganga Nagar,998.0,2.0,65.0,2
2434,Ganga Nagar,1250.0,2.0,65.0,2
2435,Garudachar Palya,1325.0,2.0,60.8,3
2436,Garudachar Palya,1060.0,2.0,48.7,2
2437,Garudachar Palya,1150.0,2.0,52.75,2
2438,Garudachar Palya,1295.0,2.0,59.5,3
2439,Garudachar Palya,1320.0,2.0,60.6,3
2440,Garudachar Palya,1295.0,2.0,59.5,3
2441,Garudachar Palya,1150.0,2.0,52.8,2
2442,Garudachar Palya,1150.0,2.0,52.8,2
2443,Garudachar Palya,1060.0,2.0,48.5,2
2444,Garudachar Palya,1150.0,2.0,52.5,2
2445,Garudachar Palya,1325.0,2.0,60.8,3
2446,Garudachar Palya,1060.0,2.0,48.66,2
2447,Garudachar Palya,1150.0,2.0,52.0,2
2448,Garudachar Palya,1154.0,2.0,51.8,2
2450,Giri Nagar,2400.0,4.0,400.0,4
2451,Giri Nagar,1800.0,3.0,252.0,3
2452,Giri Nagar,1350.0,3.0,240.0,3
2453,Giri Nagar,2400.0,4.0,400.0,4
2454,Giri Nagar,3000.0,4.0,375.0,6
2455,Giri Nagar,2400.0,6.0,400.0,6
2456,Giri Nagar,4000.0,3.0,750.0,4
2457,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2458,Gollarapalya Hosahalli,1408.0,3.0,62.0,3
2459,Gollarapalya Hosahalli,861.0,2.0,34.5,2
2460,Gollarapalya Hosahalli,1318.0,3.0,54.0,3
2461,Gollarapalya Hosahalli,861.0,2.0,36.5,2
2462,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
2463,Gollarapalya Hosahalli,1345.0,3.0,60.0,3
2464,Gollarapalya Hosahalli,1905.0,3.0,86.0,4
2465,Gollarapalya Hosahalli,1318.0,3.0,56.0,3
2466,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
2467,Gottigere,1100.0,2.0,40.0,2
2468,Gottigere,967.0,2.0,45.0,2
2469,Gottigere,1618.0,3.0,82.5,3
2470,Gottigere,1222.0,2.0,63.0,2
2472,Gottigere,1300.0,3.0,65.0,3
2473,Gottigere,950.0,2.0,38.0,2
2474,Gottigere,1153.0,2.0,48.5,2
2475,Gottigere,812.0,1.0,26.0,1
2477,Gottigere,1460.0,2.0,65.0,3
2478,Gottigere,1500.0,3.0,70.0,3
2479,Gottigere,1621.0,3.0,72.0,3
2480,Gottigere,812.0,1.0,26.0,1
2481,Gottigere,990.0,2.0,40.0,2
2482,Gottigere,1235.0,2.0,63.0,2
2483,Gottigere,1385.0,3.0,64.0,3
2484,Gottigere,1000.0,2.0,35.0,2
2485,Gottigere,1010.0,2.0,35.0,2
2488,Gottigere,1435.0,2.0,62.0,3
2489,Gottigere,945.0,2.0,45.0,2
2491,Gottigere,2500.0,3.0,120.0,4
2492,Gottigere,1230.0,2.0,52.0,3
2493,Gottigere,1120.0,2.0,50.0,2
2494,Gottigere,1500.0,3.0,63.0,3
2495,Gottigere,1200.0,2.0,40.0,2
2496,Gottigere,1280.0,2.0,61.0,2
2497,Gottigere,1205.0,2.0,56.58,2
2498,Gottigere,1170.0,2.0,40.0,2
2499,Gottigere,3000.0,3.0,132.0,4
2500,Gottigere,1613.0,3.0,72.0,3
2501,Gottigere,1110.0,2.0,36.25,2
2502,Gottigere,1245.0,2.0,59.0,2
2503,Gottigere,1200.0,2.0,50.0,2
2504,Green Glen Layout,1670.0,3.0,120.0,3
2505,Green Glen Layout,3250.0,4.0,230.0,4
2506,Green Glen Layout,1776.42,3.0,105.0,3
2507,Green Glen Layout,3250.0,4.0,230.0,4
2508,Green Glen Layout,940.0,2.0,56.8,2
2509,Green Glen Layout,1075.0,2.0,60.0,2
2510,Green Glen Layout,1715.0,3.0,115.0,3
2511,Green Glen Layout,1751.0,2.0,115.0,3
2512,Green Glen Layout,1750.0,3.0,130.0,3
2513,Green Glen Layout,1530.0,3.0,105.0,3
2514,Green Glen Layout,1752.0,3.0,105.0,3
2515,Green Glen Layout,1680.0,4.0,95.0,3
2516,Green Glen Layout,1728.0,3.0,125.0,3
2517,Green Glen Layout,1645.0,3.0,110.0,3
2518,Green Glen Layout,1517.0,3.0,100.0,3
2519,Green Glen Layout,3150.0,4.0,218.0,4
2521,Green Glen Layout,1750.0,3.0,120.0,3
2522,Green Glen Layout,1751.0,3.0,115.0,3
2523,Green Glen Layout,1750.0,3.0,105.0,3
2524,Green Glen Layout,1885.0,3.0,135.0,3
2525,Green Glen Layout,1715.0,3.0,120.0,3
2526,Green Glen Layout,1623.29,2.0,105.0,3
2527,Green Glen Layout,1715.0,3.0,115.0,3
2528,Green Glen Layout,1715.0,3.0,105.0,3
2529,Green Glen Layout,1600.0,3.0,105.0,3
2530,Green Glen Layout,1717.0,3.0,125.0,3
2531,Green Glen Layout,1250.0,2.0,75.0,2
2532,Green Glen Layout,1715.0,3.0,112.0,3
2533,Gubbalala,1470.0,2.0,82.0,3
2534,Gubbalala,1745.0,3.0,104.0,3
2535,Gubbalala,1745.0,3.0,115.0,3
2536,Gubbalala,1745.0,3.0,110.0,3
2537,Gubbalala,1650.0,3.0,71.0,3
2538,Gubbalala,2570.0,4.0,141.0,5
2539,Gubbalala,1205.0,2.0,70.0,2
2540,Gubbalala,1435.0,2.0,80.0,3
2541,Gubbalala,1475.0,2.0,80.0,2
2543,Gubbalala,1100.0,2.0,49.5,2
2544,Gubbalala,1060.0,2.0,46.0,2
2545,Gubbalala,2000.0,3.0,125.0,3
2547,Gunjur,1140.0,2.0,43.0,2
2548,Gunjur,1356.0,2.0,66.0,3
2549,Gunjur,1600.0,3.0,75.0,3
2550,Gunjur,2000.0,3.0,95.0,4
2551,Gunjur,1140.0,2.0,49.11,2
2552,Gunjur,1195.0,2.0,44.0,2
2553,Gunjur,1190.0,2.0,40.0,2
2554,Gunjur,1457.0,2.0,60.0,2
2555,Gunjur,1080.0,2.0,41.0,2
2558,Gunjur,1175.0,2.0,43.48,2
2559,Gunjur,1362.0,3.0,62.63,3
2560,Gunjur,1071.0,2.0,51.0,2
2561,Gunjur,1063.0,2.0,40.0,2
2562,Gunjur,1235.0,2.0,52.76,2
2563,Gunjur,1362.0,3.0,62.63,3
2564,Gunjur,1362.0,3.0,62.63,3
2565,Gunjur,1588.0,2.0,90.0,3
2566,Gunjur,1235.0,2.0,44.5,2
2567,Gunjur,1457.0,2.0,60.0,2
2568,Gunjur Palya,1050.0,2.0,43.0,2
2569,Gunjur Palya,1033.0,2.0,32.0,3
2570,Gunjur Palya,1400.0,3.0,45.0,3
2571,Gunjur Palya,993.0,2.0,42.0,2
2572,Gunjur Palya,1235.0,2.0,52.76,2
2573,HAL 2nd Stage,1490.0,2.0,300.0,3
2574,HAL 2nd Stage,600.0,3.0,145.0,2
2575,HAL 2nd Stage,2700.0,3.0,500.0,3
2576,HAL 2nd Stage,2040.0,4.0,500.0,5
2577,HBR Layout,2800.0,2.0,200.0,3
2578,HBR Layout,1722.0,3.0,95.0,3
2579,HBR Layout,1200.0,4.0,120.0,4
2580,HBR Layout,1200.0,2.0,60.0,2
2581,HBR Layout,1004.0,2.0,49.0,2
2582,HBR Layout,1783.0,3.0,125.0,3
2583,HBR Layout,1656.0,3.0,90.0,3
2584,HBR Layout,1089.0,2.0,60.0,2
2585,HBR Layout,1700.0,3.0,110.0,3
2586,HBR Layout,1198.0,2.0,65.0,2
2587,HBR Layout,1200.0,4.0,115.0,4
2588,HBR Layout,1200.0,2.0,120.0,2
2589,HBR Layout,1832.0,3.0,160.0,3
2590,HRBR Layout,1374.0,2.0,95.0,2
2591,HRBR Layout,1440.0,2.0,98.0,2
2593,HRBR Layout,2800.0,3.0,250.0,3
2594,HRBR Layout,1210.0,2.0,75.0,2
2595,HRBR Layout,1265.0,2.0,78.0,2
2596,HRBR Layout,1170.0,2.0,75.0,2
2598,HRBR Layout,1900.0,3.0,90.0,4
2599,HRBR Layout,1625.0,3.0,120.0,3
2600,HRBR Layout,1301.0,2.0,120.0,2
2601,HRBR Layout,1145.0,2.0,68.5,2
2602,HRBR Layout,1300.0,2.0,90.0,2
2604,HSR Layout,1372.0,2.0,68.0,2
2606,HSR Layout,1475.0,3.0,75.0,3
2607,HSR Layout,1467.0,2.0,55.0,2
2608,HSR Layout,1140.0,2.0,46.0,2
2609,HSR Layout,1372.0,2.0,61.0,2
2610,HSR Layout,1750.0,3.0,95.0,3
2612,HSR Layout,1027.0,2.0,44.0,2
2613,HSR Layout,1650.0,3.0,110.0,3
2614,HSR Layout,1140.0,2.0,46.0,2
2615,HSR Layout,1372.0,2.0,61.0,2
2616,HSR Layout,1140.0,2.0,46.0,2
2617,HSR Layout,1185.0,2.0,60.0,2
2618,HSR Layout,1127.0,2.0,68.0,2
2619,HSR Layout,1600.0,2.0,115.0,3
2620,HSR Layout,1145.0,2.0,48.0,2
2621,HSR Layout,1009.0,2.0,56.0,2
2622,HSR Layout,1300.0,2.0,98.0,2
2624,HSR Layout,1140.0,2.0,46.0,2
2625,HSR Layout,1126.0,2.0,69.0,2
2627,HSR Layout,1140.0,2.0,46.0,2
2628,HSR Layout,1145.0,2.0,46.0,2
2629,HSR Layout,1142.0,2.0,65.0,2
2630,HSR Layout,1145.0,2.0,46.0,2
2631,HSR Layout,1844.0,3.0,95.0,3
2632,HSR Layout,1203.0,2.0,72.0,2
2633,HSR Layout,1140.0,2.0,46.0,2
2634,HSR Layout,4200.0,5.0,245.0,5
2635,HSR Layout,1140.0,2.0,46.0,2
2636,HSR Layout,1145.0,2.0,46.0,2
2637,HSR Layout,1009.0,2.0,56.0,2
2638,HSR Layout,1145.0,2.0,46.0,2
2639,HSR Layout,1100.0,2.0,44.0,2
2640,HSR Layout,1203.0,2.0,60.0,2
2641,HSR Layout,1120.0,2.0,70.0,2
2642,HSR Layout,1140.0,2.0,46.0,2
2643,HSR Layout,1289.0,2.0,70.0,2
2644,HSR Layout,1844.0,3.0,89.0,3
2645,HSR Layout,1203.0,2.0,60.0,2
2646,HSR Layout,1140.0,2.0,46.0,2
2647,Haralur Road,1240.0,2.0,70.0,2
2648,Haralur Road,1027.0,2.0,44.0,2
2651,Haralur Road,1194.0,2.0,47.0,2
2652,Haralur Road,1202.0,2.0,53.0,2
2653,Haralur Road,1056.0,2.0,61.0,2
2655,Haralur Road,1810.0,3.0,100.0,3
2656,Haralur Road,1194.0,2.0,46.0,2
2658,Haralur Road,1225.0,2.0,67.38,2
2659,Haralur Road,1243.0,2.0,46.0,2
2660,Haralur Road,1027.0,2.0,44.0,2
2661,Haralur Road,1920.0,3.0,115.0,3
2662,Haralur Road,1875.0,3.0,110.0,3
2663,Haralur Road,1194.0,2.0,47.0,2
2664,Haralur Road,1140.0,2.0,43.0,2
2665,Haralur Road,1027.0,2.0,44.0,2
2666,Haralur Road,1194.0,2.0,46.0,2
2667,Haralur Road,2017.0,3.0,125.0,3
2668,Haralur Road,1140.0,2.0,43.0,2
2669,Haralur Road,1875.0,3.0,110.0,3
2670,Haralur Road,1092.0,2.0,44.0,2
2671,Haralur Road,2475.0,4.0,130.0,3
2672,Haralur Road,1300.0,2.0,73.0,2
2673,Haralur Road,1194.0,2.0,47.0,2
2674,Haralur Road,1243.0,2.0,46.0,2
2675,Haralur Road,1850.0,3.0,110.0,3
2676,Haralur Road,1225.0,2.0,67.38,2
2677,Haralur Road,1243.0,2.0,46.0,2
2678,Haralur Road,3400.0,5.0,240.0,4
2679,Haralur Road,1464.0,2.0,56.0,2
2680,Haralur Road,1230.0,2.0,78.0,2
2681,Haralur Road,1000.0,2.0,44.0,2
2683,Haralur Road,1300.0,2.0,79.0,2
2684,Haralur Road,1444.0,2.0,80.0,3
2685,Haralur Road,1088.0,2.0,68.0,2
2686,Haralur Road,1027.0,2.0,44.0,2
2688,Haralur Road,1225.0,2.0,70.0,2
2690,Haralur Road,1194.0,2.0,46.0,2
2691,Haralur Road,1830.0,3.0,101.0,3
2692,Haralur Road,1810.0,3.0,126.0,3
2693,Haralur Road,1464.0,2.0,56.0,2
2694,Haralur Road,1520.0,2.0,96.0,3
2695,Haralur Road,1300.0,2.0,75.0,2
2696,Haralur Road,2017.0,2.0,125.0,3
2697,Haralur Road,1243.0,2.0,46.0,2
2698,Haralur Road,1027.0,2.0,44.0,2
2699,Haralur Road,2805.0,5.0,160.0,4
2700,Haralur Road,1243.0,2.0,46.0,2
2701,Haralur Road,1027.0,2.0,44.0,2
2702,Haralur Road,2017.0,3.0,105.0,3
2703,Haralur Road,1243.0,2.0,46.0,2
2704,Haralur Road,1243.0,2.0,46.0,2
2705,Haralur Road,1520.0,2.0,90.0,3
2706,Haralur Road,1300.0,2.0,60.0,2
2707,Haralur Road,1985.0,3.0,130.0,3
2708,Haralur Road,1255.0,2.0,90.0,3
2709,Haralur Road,1056.0,2.0,60.0,2
2710,Haralur Road,1140.0,2.0,42.0,2
2711,Haralur Road,1245.0,2.0,62.0,2
2712,Haralur Road,1140.0,2.0,58.0,2
2713,Haralur Road,1140.0,2.0,42.0,2
2714,Haralur Road,1027.0,2.0,43.0,2
2715,Haralur Road,1194.0,2.0,47.0,2
2716,Haralur Road,1194.0,2.0,47.0,2
2717,Haralur Road,1560.0,3.0,90.0,3
2718,Haralur Road,1520.0,2.0,85.0,3
2719,Haralur Road,1243.0,2.0,45.0,2
2720,Haralur Road,1027.0,2.0,44.0,2
2721,Haralur Road,1194.0,2.0,46.0,2
2722,Haralur Road,1650.0,3.0,100.0,3
2723,Haralur Road,1580.0,3.0,73.0,3
2724,Haralur Road,1243.0,2.0,46.0,2
2725,Haralur Road,1194.0,2.0,47.0,2
2727,Haralur Road,1520.0,2.0,96.0,3
2728,Haralur Road,1510.0,3.0,83.05,3
2729,Haralur Road,1056.0,2.0,65.0,2
2730,Haralur Road,1810.0,3.0,100.0,3
2731,Haralur Road,1243.0,2.0,46.0,2
2732,Haralur Road,575.0,1.0,38.0,1
2733,Haralur Road,1194.0,2.0,46.0,2
2734,Haralur Road,1243.0,2.0,46.0,2
2735,Haralur Road,1194.0,2.0,46.0,2
2736,Haralur Road,1140.0,2.0,43.0,2
2737,Haralur Road,1850.0,3.0,120.0,3
2738,Haralur Road,1194.0,2.0,47.0,2
2739,Haralur Road,1194.0,2.0,47.0,2
2741,Haralur Road,1243.0,2.0,46.0,2
2742,Haralur Road,1710.0,3.0,85.0,3
2743,Haralur Road,1730.0,3.0,95.0,3
2744,Haralur Road,1243.0,2.0,46.0,2
2745,Haralur Road,1243.0,2.0,46.0,2
2746,Haralur Road,1243.0,2.0,46.0,2
2747,Haralur Road,1817.0,3.0,110.0,3
2748,Haralur Road,1225.0,2.0,77.0,2
2749,Haralur Road,1285.0,2.0,78.0,2
2750,Haralur Road,1225.0,2.0,67.48,2
2751,Haralur Road,1225.0,2.0,69.84,2
2752,Haralur Road,1200.0,2.0,46.0,2
2753,Haralur Road,1315.0,2.0,85.0,2
2754,Haralur Road,1976.0,3.0,92.0,3
2755,Haralur Road,1300.0,2.0,75.0,2
2756,Haralur Road,1309.0,2.0,82.0,2
2757,Haralur Road,1027.0,1.0,44.0,2
2758,Haralur Road,1243.0,2.0,46.0,2
2759,Haralur Road,1243.0,2.0,46.0,2
2760,Haralur Road,1140.0,2.0,43.0,2
2761,Haralur Road,1300.0,2.0,75.0,2
